"userId","surveyId","surveyDate","projectId","wave","sessionId","sessionKey","timeTracker_OPUFRanking1_visits","timeTracker_OPUFRanking1_seconds","timeTracker_OPUFVasAnchoring_visits","timeTracker_OPUFVasAnchoring_seconds","timeTracker_Start_visits","timeTracker_Start_seconds","timeTracker_OPUFSwingWeight1_visits","timeTracker_OPUFSwingWeight1_seconds","timeTracker_AdditionalDemographicQuestions_visits","timeTracker_AdditionalDemographicQuestions_seconds","timeTracker_completionTime","timeTracker_surveyStartTime","timeTracker_Consent_visits","timeTracker_Consent_seconds","timeTracker_Feedback_visits","timeTracker_Feedback_seconds","timeTracker_surveyEndTime","timeTracker_EPRO1_visits","timeTracker_EPRO1_seconds","timeTracker_Welcome_visits","timeTracker_Welcome_seconds","timeTracker_OPUFLevelRating_visits","timeTracker_OPUFLevelRating_seconds","timeTracker_OPUFDeadChoice_visits","timeTracker_OPUFDeadChoice_seconds","AdditionalDemographicQuestions_education_label","AdditionalDemographicQuestions_education_type","AdditionalDemographicQuestions_education_value","AdditionalDemographicQuestions_education_required","AdditionalDemographicQuestions_employment_label","AdditionalDemographicQuestions_employment_type","AdditionalDemographicQuestions_employment_value","AdditionalDemographicQuestions_employment_required","AdditionalDemographicQuestions_gender_label","AdditionalDemographicQuestions_gender_type","AdditionalDemographicQuestions_gender_value","AdditionalDemographicQuestions_gender_required","AdditionalDemographicQuestions_ethnicity_label","AdditionalDemographicQuestions_ethnicity_type","AdditionalDemographicQuestions_ethnicity_value","AdditionalDemographicQuestions_ethnicity_required","consent_respConsent_consent_consent","consent_respConsent_consent_selected","consent_respConsent_consent_text","consent_respData_options_canGoNext","consent_respData_options_canGoBack","consent_respData_options_printEnabled","consent_respData_sessionId","consent_respData_consent","consent_respData_sessionKey","consent_respData_userId","consent_respData_content_noConsent","consent_respData_content_questions_0_id","consent_respData_content_questions_0_text","consent_respData_content_startBtnLabel","consent_respData_content_printBtnLabel","consent_respData_content_title","consent_respData_content_body","consent_consentTime","consent_consented","Feedback_understand_label","Feedback_understand_type","Feedback_understand_value","Feedback_understand_required","Feedback_decide_label","Feedback_decide_type","Feedback_decide_value","Feedback_decide_required","Feedback_differences_label","Feedback_differences_type","Feedback_differences_value","Feedback_differences_required","opuf_firstRank","opuf_swingWeights_treat","opuf_swingWeights_sports","opuf_swingWeights_tired","opuf_swingWeights_unhappiness","opuf_swingWeights_concentration","opuf_swingWeights_walk","opuf_swingWeights_embarrassment","opuf_pitsUtility","opuf_pufScaled","opuf_anchorPoint","opuf_levelRatings_treat_0","opuf_levelRatings_treat_1","opuf_levelRatings_treat_2","opuf_levelRatings_treat_3","opuf_levelRatings_treat_4","opuf_levelRatings_sports_0","opuf_levelRatings_sports_1","opuf_levelRatings_sports_2","opuf_levelRatings_sports_3","opuf_levelRatings_sports_4","opuf_levelRatings_tired_0","opuf_levelRatings_tired_1","opuf_levelRatings_tired_2","opuf_levelRatings_tired_3","opuf_levelRatings_tired_4","opuf_levelRatings_unhappiness_0","opuf_levelRatings_unhappiness_1","opuf_levelRatings_unhappiness_2","opuf_levelRatings_unhappiness_3","opuf_levelRatings_unhappiness_4","opuf_levelRatings_concentration_0","opuf_levelRatings_concentration_1","opuf_levelRatings_concentration_2","opuf_levelRatings_concentration_3","opuf_levelRatings_concentration_4","opuf_levelRatings_walk_0","opuf_levelRatings_walk_1","opuf_levelRatings_walk_2","opuf_levelRatings_walk_3","opuf_levelRatings_walk_4","opuf_levelRatings_embarrassment_0","opuf_levelRatings_embarrassment_1","opuf_levelRatings_embarrassment_2","opuf_levelRatings_embarrassment_3","opuf_levelRatings_embarrassment_4","opuf_anchorVal","opuf_pufAnchored","epro_treat","epro_sports","epro_tired","epro_unhappiness","epro_concentration","epro_walk","epro_embarrassment","feedback","timeTracker_feedback_visits","timeTracker_feedback_seconds","AdditionalDemographicQuestions_weightstatus_label","AdditionalDemographicQuestions_weightstatus_type","AdditionalDemographicQuestions_weightstatus_value","AdditionalDemographicQuestions_weightstatus_required","Feedback","feedback_understand_label","feedback_understand_type","feedback_understand_value","feedback_understand_required","feedback_decide_label","feedback_decide_type","feedback_decide_value","feedback_decide_required","feedback_differences_label","feedback_differences_type","feedback_differences_value","feedback_differences_required"
"demo","waite_opuf_adult2",1723123363715,"waite",1,"723dd2c4-1d97-4f4b-bd3e-80cbfecb4959",,1,26,1,19,2,1,1,98,1,24,518975,1723196173721,1,3,1,19,1723196692696,1,52,1,29,1,226,1,17,"Please select the highest level of education that you have attained.","radio","level4",true,"Which of the following best describes your current employment status?","radio","fulltime",true,"What gender do you identify as?","radio","female",true,"What is your ethnic group?","radio","white",true,true,true,"I consent to participate",false,false,true,"723dd2c4-1d97-4f4b-bd3e-80cbfecb4959",true,,"demo","noConsent (you can't participate without consent)","consent","I consent to participate","Start Survey","Print","Consent question","I hereby consent to participate in this survey",1723196206338,true,"It was easy to understand the questions I was asked.","radio","somewhatagree",true,"I found it difficult to decide on my answers to the questions.","radio","somewhatagree",true,"I found it easy to tell the differences between the health states I was asked to think about.","radio","somewhatagree",true,"unhappiness",18,23,68,100,51,42,15,0.19,"{}","dead",0,14,23,28,100,0,17,32,47,100,0,8,70,82,100,0,61,75,88,100,0,38,49,61,100,0,15,26,38,100,0,8,15,24,100,19,"{}","treat_1","sports_1","tired_1","unhappiness_1","concentration_1","walk_0","embarrassment_1",,,,,,,,,,,,,,,,,,,,
"demo","waite_opuf_adult2",1723123363715,"waite",1,"a4b30a0e-0b47-4fed-bcf7-a9163657449d",,1,3,1,11,2,3,1,16,1,46,146842,1723123500654,1,2,1,10,1723123647496,1,10,1,5,1,31,1,4,"Please select the highest level of education that you have attained.","radio","level4",true,"Which of the following best describes your current employment status?","radio","other",true,"What gender do you identify as?","radio","male",true,"What is your ethnic group?","radio","white",true,true,true,"I consent to participate",false,false,true,"a4b30a0e-0b47-4fed-bcf7-a9163657449d",true,,"demo","noConsent (you can't participate without consent)","consent","I consent to participate","Start Survey","Print","Consent question","I hereby consent to participate in this survey",1723123511043,true,"It was easy to understand the questions I was asked.","radio","stronglyagree",true,"I found it difficult to decide on my answers to the questions.","radio","stronglydisagree",true,"I found it easy to tell the differences between the health states I was asked to think about.","radio","stronglyagree",true,"tired",49,39,100,77,45,48,52,0.22,"{}","dead",0,18,43,65,100,0,14,28,46,100,0,17,48,82,100,0,18,32,46,100,0,13,29,60,100,0,16,54,86,100,0,19,41,82,100,22,"{}","treat_0","sports_0","tired_0","unhappiness_0","concentration_0","walk_0","embarrassment_0",,,,,,,,,,,,,,,,,,,,
"demo (tom)","waite_opuf_adult2",1723123363715,"waite",1,"84d78961-bb9f-4a7c-87c4-24ace931fe89",,1,21,1,15,2,2,1,61,1,39,315010,1723191770770,1,2,1,14,1723192085780,1,16,1,38,1,94,1,7,"Please select the highest level of education that you have attained.","radio","level4",true,"Which of the following best describes your current employment status?","radio","fulltime",true,"What gender do you identify as?","radio","male",true,"What is your ethnic group?","radio","white",true,true,true,"I consent to participate",false,false,true,"84d78961-bb9f-4a7c-87c4-24ace931fe89",true,,"demo (tom)","noConsent (you can't participate without consent)","consent","I consent to participate","Start Survey","Print","Consent question","I hereby consent to participate in this survey",1723191813785,true,"It was easy to understand the questions I was asked.","radio","somewhatagree",true,"I found it difficult to decide on my answers to the questions.","radio","somewhatdisagree",true,"I found it easy to tell the differences between the health states I was asked to think about.","radio","neither",true,"unhappiness","95","70","50",100,"80","60","90",0.24,"{}","dead",0,50,60,70,100,0,10,50,89,100,0,16,50,68,100,0,50,67,87,100,0,12,50,80,100,0,20,30,90,100,0,1,14,89,100,24,"{}","treat_0","sports_0","tired_1","unhappiness_0","concentration_0","walk_0","embarrassment_0",,,,,,,,,,,,,,,,,,,,
"demo","waite_opuf_adult2",1723211408058,"waite",1,"3d2a690c-3200-4abc-a439-ecc3fa711f5c",,1,7,1,3,2,2,1,17,1,33,137004,1723213891681,1,2,,,1723214028685,1,10,1,6,1,31,1,4,"Please select the highest educational qualification (or equivalent) that you have attained.","radio","degree",true,"Which of the following best describes your current employment status?","radio","student",true,"What gender do you identify as?","radio","male",true,"What is your ethnic group?","radio","white",true,true,true,"I consent to participate",false,false,true,"3d2a690c-3200-4abc-a439-ecc3fa711f5c",true,,"demo","noConsent (you can't participate without consent)","consent","I consent to participate","Start Survey","Print","Consent question","I hereby consent to participate in this survey",1723213901982,true,,,,,,,,,,,,,"tired",46,29,100,33,43,39,32,0.22,"{}","dead",0,22,49,73,100,0,18,40,71,100,0,21,56,71,100,0,18,51,77,100,0,25,43,83,100,0,33,54,75,100,0,22,48,74,100,22,"{}","treat_0","sports_2","tired_0","unhappiness_2","concentration_4","walk_2","embarrassment_1",,1,15,"What is your weight status?","radio","normal",true,,"It was easy to understand the questions I was asked.","radio","stronglyagree",true,"I found it difficult to decide on my answers to the questions.","radio","stronglydisagree",true,"I found it easy to tell the differences between the health states I was asked to think about.","radio","stronglyagree",true
"demo","waite_opuf_adult2",1723211408058,"waite",1,"c1221489-2c30-4a28-a2ab-76a1b073f561",,1,3,1,11,2,0,1,46,1,10,140351,1723239715999,1,7,,,1723239856350,1,10,1,5,1,30,1,6,"Please select the highest educational qualification (or equivalent) that you have attained.","radio","degree",true,"Which of the following best describes your current employment status?","radio","student",true,"What gender do you identify as?","radio","male",true,"What is your ethnic group?","radio","white",true,true,true,"I consent to participate",false,false,true,"c1221489-2c30-4a28-a2ab-76a1b073f561",true,,"demo","noConsent (you can't participate without consent)","consent","I consent to participate","Start Survey","Print","Consent question","I hereby consent to participate in this survey",1723239728091,true,,,,,,,,,,,,,"tired",43,26,100,49,52,44,35,0.22,"{}","dead",0,13,40,71,100,0,14,35,59,100,0,40,64,80,100,0,32,57,77,100,0,19,54,74,100,0,23,56,75,100,0,20,49,74,100,22,"{}","treat_0","sports_0","tired_0","unhappiness_0","concentration_0","walk_0","embarrassment_0",,1,7,"What is your weight status?","radio","normal",true,,"It was easy to understand the questions I was asked.","radio","stronglyagree",true,"I found it difficult to decide on my answers to the questions.","radio","stronglydisagree",true,"I found it easy to tell the differences between the health states I was asked to think about.","radio","stronglyagree",true
"anonymous0","waite_opuf_adult2",1723211408058,"waite",1,"b7d28b42-8c99-40db-92c3-6ec0891f8594",,2,6,1,1,2,2,1,12,1,5,72338,1723239636312,1,2,,,1723239708650,2,10,1,5,1,19,1,2,"Please select the highest educational qualification (or equivalent) that you have attained.","radio","gcse_d_g",true,"Which of the following best describes your current employment status?","radio","newjob",true,"What gender do you identify as?","radio","other",true,"What is your ethnic group?","radio","other",true,true,true,"I consent to participate",false,false,true,"b7d28b42-8c99-40db-92c3-6ec0891f8594",true,,,"noConsent (you can't participate without consent)","consent","I consent to participate","Start Survey","Print","Consent question","I hereby consent to participate in this survey",1723239644994,true,,,,,,,,,,,,,"sports",84,100,61,93,88,96,76,-0.54,"{}","pits",0,30,33,35,100,0,11,12,15,100,0,24,24,27,100,0,27,31,31,100,0,9,11,12,100,0,19,21,21,100,0,13,16,18,100,35,"{}","treat_0","sports_0","tired_1","unhappiness_0","concentration_0","walk_0","embarrassment_0",,1,2,"What is your weight status?","radio","obese",true,,"It was easy to understand the questions I was asked.","radio","neither",true,"I found it difficult to decide on my answers to the questions.","radio","somewhatagree",true,"I found it easy to tell the differences between the health states I was asked to think about.","radio","somewhatagree",true
"663653e5923836444d951e43","waite_opuf_adult2",1723239900725,"waite",1,"7503fe5d-2118-4b94-9f1f-7a49da3c7736",,1,15,1,10,2,0,1,44,1,11,205687,1723460955341,1,2,,,1723461161028,1,26,1,4,1,68,1,11,"Please select the highest educational qualification (or equivalent) that you have attained.","radio","alevel",true,"Which of the following best describes your current employment status?","radio","fulltime",true,"What gender do you identify as?","radio","female",true,"What is your ethnic group?","radio","white",true,true,true,"I consent to participate",false,false,true,"7503fe5d-2118-4b94-9f1f-7a49da3c7736",true,,"663653e5923836444d951e43","noConsent (you can't participate without consent)","consent","I consent to participate","Start Survey","Print","Consent question","I hereby consent to participate in this survey",1723460962338,true,,,,,,,,,,,,,"treat",100,56,56,100,71,38,37,0.14,"{}","dead",0,21,47,47,100,0,29,46,73,100,0,9,47,85,100,0,37,48,53,100,0,36,58,57,100,0,21,53,64,100,0,15,60,82,100,14,"{}","treat_0","sports_0","tired_1","unhappiness_0","concentration_0","walk_0","embarrassment_1",,1,10,"What is your weight status?","radio","normal",true,,"It was easy to understand the questions I was asked.","radio","somewhatagree",true,"I found it difficult to decide on my answers to the questions.","radio","somewhatdisagree",true,"I found it easy to tell the differences between the health states I was asked to think about.","radio","somewhatagree",true
"6553c8f857e8574864db9a92","waite_opuf_adult2",1723239900725,"waite",1,"abfc5dbb-d20e-4c1b-8d64-3ea62031a35b",,1,49,1,39,2,0,1,118,1,16,573629,1723461307257,1,4,,,1723461880886,1,49,1,20,1,226,1,16,"Please select the highest educational qualification (or equivalent) that you have attained.","radio","degree",true,"Which of the following best describes your current employment status?","radio","parttime",true,"What gender do you identify as?","radio","male",true,"What is your ethnic group?","radio","white",true,true,true,"I consent to participate",false,false,true,"abfc5dbb-d20e-4c1b-8d64-3ea62031a35b",true,,"6553c8f857e8574864db9a92","noConsent (you can't participate without consent)","consent","I consent to participate","Start Survey","Print","Consent question","I hereby consent to participate in this survey",1723461331095,true,,,,,,,,,,,,,"tired",27,42,100,75,30,87,5,0.5,"{}","dead",0,1,5,20,100,0,1,10,60,100,0,8,8,80,100,0,13,50,92,100,0,7,20,67,100,0,1,22,84,100,0,1,1,29,100,50,"{}","treat_3","sports_4","tired_4","unhappiness_3","concentration_2","walk_4","embarrassment_4",,1,31,"What is your weight status?","radio","obese",true,,"It was easy to understand the questions I was asked.","radio","somewhatdisagree",true,"I found it difficult to decide on my answers to the questions.","radio","somewhatdisagree",true,"I found it easy to tell the differences between the health states I was asked to think about.","radio","somewhatagree",true
"6682ad18ead583317906ac3e","waite_opuf_adult2",1723239900725,"waite",1,"a60413d3-496f-450b-b8d9-87191e4c46e9",,1,14,1,62,2,0,1,106,1,17,474029,1723461163073,1,2,,,1723461637102,1,53,1,8,1,176,1,14,"Please select the highest educational qualification (or equivalent) that you have attained.","radio","higher",true,"Which of the following best describes your current employment status?","radio","parttime",true,"What gender do you identify as?","radio","female",true,"What is your ethnic group?","radio","white",true,true,true,"I consent to participate",false,false,true,"a60413d3-496f-450b-b8d9-87191e4c46e9",true,,"6682ad18ead583317906ac3e","noConsent (you can't participate without consent)","consent","I consent to participate","Start Survey","Print","Consent question","I hereby consent to participate in this survey",1723461173553,true,,,,,,,,,,,,,"tired",65,65,100,90,90,80,40,0.81,"{}","dead",0,30,50,80,100,0,20,40,60,100,0,5,40,70,100,0,35,60,80,100,0,40,65,80,100,0,40,65,85,100,0,20,50,75,100,81,"{}","treat_2","sports_2","tired_3","unhappiness_2","concentration_2","walk_1","embarrassment_1",,1,16,"What is your weight status?","radio","normal",true,,"It was easy to understand the questions I was asked.","radio","somewhatdisagree",true,"I found it difficult to decide on my answers to the questions.","radio","somewhatagree",true,"I found it easy to tell the differences between the health states I was asked to think about.","radio","somewhatdisagree",true
"637f7e8a1ba8e6e1cc969beb","waite_opuf_adult2",1723239900725,"waite",1,"194417d2-c727-4c74-a9ee-6da46725f268",,1,13,1,21,2,0,1,53,1,20,301977,1723461138864,1,2,,,1723461440841,1,38,1,4,1,123,1,9,"Please select the highest educational qualification (or equivalent) that you have attained.","radio","alevel",true,"Which of the following best describes your current employment status?","radio","fulltime",true,"What gender do you identify as?","radio","female",true,"What is your ethnic group?","radio","white",true,true,true,"I consent to participate",false,false,true,"194417d2-c727-4c74-a9ee-6da46725f268",true,,"637f7e8a1ba8e6e1cc969beb","noConsent (you can't participate without consent)","consent","I consent to participate","Start Survey","Print","Consent question","I hereby consent to participate in this survey",1723461145805,true,,,,,,,,,,,,,"concentration",30,10,30,50,100,40,70,0.9,"{}","dead",0,19,60,90,100,0,15,30,70,100,0,10,20,40,100,0,20,50,85,100,0,15,45,80,100,0,20,40,70,100,0,10,30,80,100,90,"{}","treat_2","sports_2","tired_2","unhappiness_2","concentration_3","walk_1","embarrassment_4",,1,12,"What is your weight status?","radio","over",true,,"It was easy to understand the questions I was asked.","radio","somewhatagree",true,"I found it difficult to decide on my answers to the questions.","radio","neither",true,"I found it easy to tell the differences between the health states I was asked to think about.","radio","somewhatagree",true
