Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66b9ecb4989736bab732a330,652059dff9cef291c99f8614,REJECTED,Not Applicable,2024-08-12T11:06:39.481000Z,2024-08-12T11:13:02.364000Z,2024-08-13T13:45:12.957000Z,2024-08-13T15:04:10.626493Z,383.0,NOCODE,143,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66b9ecda0a7402d347701fd6,651ee539597b00f3fda39f82,AWAITING REVIEW,Not Applicable,2024-08-12T11:11:44.988000Z,2024-08-12T11:16:01.586000Z,,2024-08-12T11:16:02.517562Z,257.0,C12G62ME,44,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
66b9ece284c12a4b699d7693,599acb2f6c165e000113fc70,RETURNED,Not Applicable,2024-08-12T11:07:14.732000Z,,,2024-08-12T13:29:15.980795Z,,,336,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66b9ece747069f170c862e2e,6695615cb0ae9b1d115a44e4,APPROVED,Not Applicable,2024-08-12T11:07:49.440000Z,2024-08-12T11:14:35.163000Z,2024-08-13T13:29:30.548000Z,2024-08-12T11:14:36.258420Z,406.0,C12G62ME,59,English,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66b9ecf31b4054b5ee0f5916,6317702e0ad1c88077e18500,RETURNED,Not Applicable,2024-08-12T11:07:40.282000Z,,,2024-08-12T13:29:15.981294Z,,,522,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66b9ecfeadd2aeb18ef120e7,664f6568c9b11c6fd890b41c,APPROVED,Not Applicable,2024-08-12T11:07:53.427000Z,2024-08-12T11:21:04.969000Z,2024-08-12T11:21:47.813000Z,2024-08-12T11:22:05.970826Z,792.0,C12G62ME,49,English,41,Female,White,Germany,United Kingdom,United Kingdom,English,No,Part-Time
66b9ed11e74195bb890221c9,613f60f913bf05a31be74997,APPROVED,Not Applicable,2024-08-12T11:08:10.176000Z,2024-08-12T11:19:36.762000Z,2024-08-12T11:21:28.371000Z,2024-08-12T11:21:33.146091Z,687.0,C12G62ME,621,English,70,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
66b9ed1269bdfeeda17867db,63d7c49b6034452ab6c2a7e8,APPROVED,Not Applicable,2024-08-12T11:08:08.009000Z,2024-08-12T11:15:11.584000Z,2024-08-13T13:38:48.823000Z,2024-08-12T11:15:12.422559Z,424.0,C12G62ME,737,"English, Italian",33,Male,White,Italy,United Kingdom,Italy,English,DATA_EXPIRED,Full-Time
66b9ed1d9b7fb9a2331f143f,63f64240799feedb49f09c10,APPROVED,Not Applicable,2024-08-12T11:08:23.532000Z,2024-08-12T11:22:59.252000Z,2024-08-12T11:23:00.594000Z,2024-08-12T11:23:52.677482Z,876.0,C12G62ME,934,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66b9ed1ecca76bef2da13e10,6400de311ff3b4a5f13f3506,APPROVED,Not Applicable,2024-08-12T11:08:22.728000Z,2024-08-12T11:18:06.562000Z,2024-08-12T11:18:08.057000Z,2024-08-12T11:18:08.153285Z,584.0,C12G62ME,273,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
